Order Number	Country	Product	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Sales	COGS	Profit	Date
514-478-541	Japan	Vermont	" £3,475 "	 £10.00 	 £350.00 	" £1,216,250.00 "	" £1,216,250.00 "	" £448,500.00 "	" £767,750.00 "	1/11/2018
782-513-339	United States of America	Vermont	" £3,686 "	 £10.00 	 £12.00 	" £44,232.00 "	" £44,232.00 "	" £2,736.00 "	" £41,496.00 "	1/11/2018
481-630-554	United States of America	Vermont	" £3,686 "	 £10.00 	 £12.00 	" £44,232.00 "	" £44,232.00 "	" £2,736.00 "	" £41,496.00 "	1/11/2018
492-523-389	Japan	Vermont	" £3,319 "	 £10.00 	 £15.00 	" £49,785.00 "	" £49,785.00 "	" £21,520.00 "	" £28,265.00 "	1/12/2018
524-554-428	Japan	Vermont	" £3,617 "	 £10.00 	 £20.00 	" £72,340.00 "	" £72,340.00 "	" £18,170.00 "	" £54,170.00 "	1/12/2019
468-661-358	India	Vermont	" £1,266 "	 £10.00 	 £350.00 	" £443,100.00 "	" £443,100.00 "	" £393,380.00 "	" £49,720.00 "	1/12/2019
622-427-316	Brazil	Burlington	 £894 	 £120.00 	 £7.00 	" £6,258.00 "	" £6,258.00 "	" £7,465.00 "	"-£1,207.00 "	1/1/2019
463-689-303	United Kingdom	Burlington	" £2,725 "	 £120.00 	 £125.00 	" £340,625.00 "	" £340,625.00 "	" £216,480.00 "	" £124,145.00 "	1/2/2019
708-656-302	India	Burlington	" £3,061 "	 £120.00 	 £12.00 	" £36,732.00 "	" £36,732.00 "	" £6,483.00 "	" £30,249.00 "	1/3/2019
623-396-504	India	Burlington	" £3,958 "	 £120.00 	 £350.00 	" £1,385,300.00 "	" £1,385,300.00 "	" £261,560.00 "	" £1,123,740.00 "	1/6/2019
481-618-309	India	Burlington	" £3,920 "	 £120.00 	 £12.00 	" £47,040.00 "	" £47,040.00 "	" £4,635.00 "	" £42,405.00 "	1/6/2019
691-627-480	United States of America	Burlington	" £3,381 "	 £120.00 	 £125.00 	" £422,625.00 "	" £422,625.00 "	" £338,520.00 "	" £84,105.00 "	1/8/2019
688-697-464	Japan	Burlington	" £1,094 "	 £120.00 	 £125.00 	" £136,750.00 "	" £136,750.00 "	" £41,400.00 "	" £95,350.00 "	1/10/2018
475-552-350	Japan	Mandarin	" £4,307 "	 £250.00 	 £300.00 	" £1,292,100.00 "	" £1,292,100.00 "	" £500,250.00 "	" £791,850.00 "	1/2/2019
561-638-306	India	Mandarin	 £878 	 £250.00 	 £12.00 	" £10,536.00 "	" £10,536.00 "	" £8,514.00 "	" £2,022.00 "	1/4/2019
783-520-400	United Kingdom	Mandarin	 £496 	 £250.00 	 £15.00 	" £7,440.00 "	" £7,440.00 "	" £21,780.00 "	"-£14,340.00 "	1/6/2019
535-448-412	India	Mandarin	" £3,367 "	 £250.00 	 £15.00 	" £50,505.00 "	" £50,505.00 "	" £8,880.00 "	" £41,625.00 "	1/6/2019
710-509-499	United Kingdom	Mandarin	" £3,880 "	 £250.00 	 £350.00 	" £1,358,000.00 "	" £1,358,000.00 "	" £397,020.00 "	" £960,980.00 "	1/9/2018
536-618-377	United Kingdom	Mandarin	" £2,055 "	 £250.00 	 £300.00 	" £616,500.00 "	" £616,500.00 "	" £537,750.00 "	" £78,750.00 "	1/9/2019
785-620-451	Japan	Mandarin	" £4,041 "	 £250.00 	 £20.00 	" £80,820.00 "	" £80,820.00 "	" £18,170.00 "	" £62,650.00 "	1/12/2019
511-448-356	United Kingdom	Luxe	" £3,237 "	 £260.00 	 £350.00 	" £1,132,950.00 "	" £1,132,950.00 "	" £715,000.00 "	" £417,950.00 "	1/2/2019
582-520-393	United States of America	Luxe	 £630 	 £260.00 	 £12.00 	" £7,560.00 "	" £7,560.00 "	" £5,859.00 "	" £1,701.00 "	1/4/2019
555-516-522	India	Luxe	" £4,210 "	 £260.00 	 £125.00 	" £526,250.00 "	" £526,250.00 "	" £506,340.00 "	" £19,910.00 "	1/4/2019
606-594-548	United Kingdom	Luxe	" £1,127 "	 £260.00 	 £20.00 	" £22,540.00 "	" £22,540.00 "	" £18,990.00 "	" £3,550.00 "	1/6/2019
584-678-404	India	Luxe	" £3,438 "	 £260.00 	 £7.00 	" £24,066.00 "	" £24,066.00 "	" £8,430.00 "	" £15,636.00 "	1/7/2019
678-529-385	United States of America	Luxe	" £2,015 "	 £260.00 	 £12.00 	" £24,180.00 "	" £24,180.00 "	" £6,423.00 "	" £17,757.00 "	1/8/2019
785-571-435	United States of America	Luxe	" £2,534 "	 £260.00 	 £7.00 	" £17,738.00 "	" £17,738.00 "	" £5,715.00 "	" £12,023.00 "	1/10/2019
649-555-317	United States of America	Luxe	" £1,384 "	 £260.00 	 £15.00 	" £20,760.00 "	" £20,760.00 "	" £6,150.00 "	" £14,610.00 "	1/12/2019
714-485-454	United Kingdom	Vermont	" £3,561 "	 £10.00 	 £7.00 	" £24,927.00 "	" £24,650.85 "	" £19,725.00 "	" £4,925.85 "	1/1/2019
466-591-367	United Kingdom	Vermont	" £1,823 "	 £10.00 	 £15.00 	" £27,345.00 "	" £27,000.60 "	" £22,960.00 "	" £4,040.60 "	1/2/2019
773-592-496	United Kingdom	Vermont	" £2,795 "	 £10.00 	 £7.00 	" £19,565.00 "	" £19,492.90 "	" £5,150.00 "	" £14,342.90 "	1/5/2019
603-499-403	United Kingdom	Burlington	 £457 	 £120.00 	 £7.00 	" £3,199.00 "	" £3,154.27 "	" £3,195.00 "	-£40.73 	1/11/2019
597-543-323	Japan	Mandarin	" £3,785 "	 £250.00 	 £7.00 	" £26,495.00 "	" £26,402.18 "	" £6,630.00 "	" £19,772.18 "	1/3/2019
786-662-422	United States of America	Kensington	 £748 	 £3.00 	 £12.00 	" £8,976.00 "	" £8,753.04 "	" £5,574.00 "	" £3,179.04 "	1/2/2019
780-627-499	Brazil	Kensington	" £1,021 "	 £3.00 	 £350.00 	" £357,350.00 "	" £353,115.00 "	" £314,600.00 "	" £38,515.00 "	1/3/2019
611-700-536	United States of America	Kensington	" £2,076 "	 £3.00 	 £7.00 	" £14,532.00 "	" £14,354.97 "	" £12,645.00 "	" £1,709.97 "	1/7/2019
544-658-329	Japan	Kensington	" £4,316 "	 £3.00 	 £12.00 	" £51,792.00 "	" £51,618.60 "	" £4,335.00 "	" £47,283.60 "	1/9/2019
664-644-291	United States of America	Kensington	" £2,654 "	 £3.00 	 £125.00 	" £331,750.00 "	" £331,337.50 "	" £39,600.00 "	" £291,737.50 "	1/9/2018
731-395-432	United Kingdom	Kensington	" £4,174 "	 £3.00 	 £12.00 	" £50,088.00 "	" £49,767.48 "	" £8,013.00 "	" £41,754.48 "	1/9/2019
610-556-353	India	Kensington	" £1,675 "	 £3.00 	 £12.00 	" £20,100.00 "	" £20,008.08 "	" £2,298.00 "	" £17,710.08 "	1/10/2018
557-555-557	Brazil	Kensington	" £1,572 "	 £3.00 	 £300.00 	" £471,600.00 "	" £470,118.00 "	" £123,500.00 "	" £346,618.00 "	1/10/2018
545-550-373	Brazil	Kensington	" £3,736 "	 £3.00 	 £350.00 	" £1,307,600.00 "	" £1,302,710.50 "	" £363,220.00 "	" £939,490.50 "	1/10/2019
527-578-404	United Kingdom	Kensington	" £1,914 "	 £3.00 	 £350.00 	" £669,900.00 "	" £662,357.50 "	" £560,300.00 "	" £102,057.50 "	1/12/2019
578-561-543	Brazil	Royal Oak	" £2,742 "	 £5.00 	 £15.00 	" £41,130.00 "	" £40,797.90 "	" £22,140.00 "	" £18,657.90 "	1/3/2019
775-637-449	United States of America	Royal Oak	" £1,499 "	 £5.00 	 £300.00 	" £449,700.00 "	" £442,797.00 "	" £575,250.00 "	"-£132,453.00 "	1/4/2019
738-547-482	United Kingdom	Royal Oak	" £3,772 "	 £5.00 	 £20.00 	" £75,440.00 "	" £75,164.90 "	" £13,755.00 "	" £61,409.90 "	1/7/2019
759-393-293	Japan	Royal Oak	" £1,112 "	 £5.00 	 £7.00 	" £7,784.00 "	" £7,655.90 "	" £9,150.00 "	"-£1,494.10 "	1/8/2019
721-587-509	United States of America	Royal Oak	" £1,723 "	 £5.00 	 £300.00 	" £516,900.00 "	" £509,406.00 "	" £624,500.00 "	"-£115,094.00 "	1/9/2018
564-667-319	United States of America	Royal Oak	 £423 	 £5.00 	 £125.00 	" £52,875.00 "	" £52,046.25 "	" £79,560.00 "	"-£27,513.75 "	1/10/2018
569-509-317	United States of America	Vermont	" £2,368 "	 £10.00 	 £15.00 	" £35,520.00 "	" £35,292.90 "	" £15,140.00 "	" £20,152.90 "	1/2/2019
684-563-518	United States of America	Vermont	" £1,586 "	 £10.00 	 £7.00 	" £11,102.00 "	" £10,787.53 "	" £22,462.50 "	"-£11,674.98 "	1/4/2019
520-464-431	United States of America	Vermont	" £3,386 "	 £10.00 	 £125.00 	" £423,250.00 "	" £422,341.25 "	" £87,240.00 "	" £335,101.25 "	1/6/2019
651-403-380	United Kingdom	Vermont	 £852 	 £10.00 	 £125.00 	" £106,500.00 "	" £105,516.25 "	" £94,440.00 "	" £11,076.25 "	1/6/2019
712-605-353	Brazil	Vermont	" £2,783 "	 £10.00 	 £125.00 	" £347,875.00 "	" £345,596.25 "	" £218,760.00 "	" £126,836.25 "	1/7/2019
572-395-332	India	Vermont	" £2,684 "	 £10.00 	 £15.00 	" £40,260.00 "	" £40,147.95 "	" £7,470.00 "	" £32,677.95 "	1/9/2019
675-565-418	India	Vermont	" £4,393 "	 £10.00 	 £12.00 	" £52,716.00 "	" £52,624.08 "	" £2,298.00 "	" £50,326.08 "	1/10/2018
529-493-499	United States of America	Vermont	" £4,083 "	 £10.00 	 £300.00 	" £1,224,900.00 "	" £1,216,185.00 "	" £726,250.00 "	" £489,935.00 "	1/11/2019
678-661-410	United Kingdom	Vermont	" £2,816 "	 £10.00 	 £350.00 	" £985,600.00 "	" £978,057.50 "	" £560,300.00 "	" £417,757.50 "	1/12/2019
639-501-460	United Kingdom	Burlington	" £4,294 "	 £120.00 	 £20.00 	" £85,880.00 "	" £85,107.20 "	" £38,640.00 "	" £46,467.20 "	1/4/2019
771-426-405	Brazil	Burlington	" £2,856 "	 £120.00 	 £7.00 	" £19,992.00 "	" £19,966.66 "	" £1,810.00 "	" £18,156.66 "	1/5/2019
759-516-480	Japan	Burlington	" £1,407 "	 £120.00 	 £125.00 	" £175,875.00 "	" £174,721.25 "	" £110,760.00 "	" £63,961.25 "	1/8/2019
464-694-340	United States of America	Burlington	" £3,850 "	 £120.00 	 £125.00 	" £481,250.00 "	" £480,421.25 "	" £79,560.00 "	" £400,861.25 "	1/10/2018
754-454-307	Japan	Burlington	" £2,856 "	 £120.00 	 £7.00 	" £19,992.00 "	" £19,845.56 "	" £10,460.00 "	" £9,385.56 "	1/11/2018
559-454-416	India	Mandarin	" £1,265 "	 £250.00 	 £7.00 	" £8,855.00 "	" £8,836.59 "	" £1,315.00 "	" £7,521.59 "	1/3/2019
728-664-415	Japan	Mandarin	" £3,892 "	 £250.00 	 £350.00 	" £1,362,200.00 "	" £1,358,897.75 "	" £245,310.00 "	" £1,113,587.75 "	1/4/2019
648-444-551	United States of America	Mandarin	" £3,068 "	 £250.00 	 £125.00 	" £383,500.00 "	" £382,591.25 "	" £87,240.00 "	" £295,351.25 "	1/6/2019
620-483-489	United Kingdom	Mandarin	" £2,181 "	 £250.00 	 £125.00 	" £272,625.00 "	" £271,641.25 "	" £94,440.00 "	" £177,201.25 "	1/6/2019
557-633-316	India	Mandarin	" £1,356 "	 £250.00 	 £300.00 	" £406,800.00 "	" £403,842.00 "	" £246,500.00 "	" £157,342.00 "	1/9/2019
767-600-423	Brazil	Mandarin	" £2,545 "	 £250.00 	 £300.00 	" £763,500.00 "	" £762,018.00 "	" £123,500.00 "	" £638,518.00 "	1/10/2018
487-411-480	Brazil	Mandarin	" £1,814 "	 £250.00 	 £350.00 	" £634,900.00 "	" £630,010.50 "	" £363,220.00 "	" £266,790.50 "	1/10/2019
620-526-297	United Kingdom	Mandarin	" £1,495 "	 £250.00 	 £125.00 	" £186,875.00 "	" £184,695.00 "	" £209,280.00 "	"-£24,585.00 "	1/11/2019
624-681-295	United States of America	Luxe	" £1,154 "	 £260.00 	 £12.00 	" £13,848.00 "	" £13,609.32 "	" £5,967.00 "	" £7,642.32 "	1/9/2018
556-405-344	United Kingdom	Luxe	" £4,180 "	 £260.00 	 £15.00 	" £62,700.00 "	" £62,651.85 "	" £3,210.00 "	" £59,441.85 "	1/11/2018
665-608-332	Japan	Kensington	" £1,463 "	 £3.00 	 £125.00 	" £182,875.00 "	" £181,018.75 "	" £89,100.00 "	" £91,918.75 "	1/4/2019
575-467-347	Japan	Kensington	 £215 	 £3.00 	 £12.00 	" £2,580.00 "	" £2,269.20 "	" £3,885.00 "	"-£1,615.80 "	1/10/2019
521-409-462	India	Kensington	" £4,099 "	 £3.00 	 £300.00 	" £1,229,700.00 "	" £1,228,416.00 "	" £53,500.00 "	" £1,174,916.00 "	1/10/2018
679-405-485	United Kingdom	Kensington	" £2,660 "	 £3.00 	 £7.00 	" £18,620.00 "	" £18,319.70 "	" £10,725.00 "	" £7,594.70 "	1/11/2018
640-391-441	Japan	Kensington	 £566 	 £3.00 	 £350.00 	" £198,100.00 "	" £178,136.00 "	" £741,520.00 "	"-£563,384.00 "	1/12/2019
719-426-389	United States of America	Royal Oak	" £3,255 "	 £5.00 	 £12.00 	" £39,060.00 "	" £38,785.92 "	" £3,426.00 "	" £35,359.92 "	1/6/2019
691-472-532	United States of America	Royal Oak	 £772 	 £5.00 	 £20.00 	" £15,440.00 "	" £14,813.60 "	" £15,660.00 "	-£846.40 	1/10/2019
657-416-385	Brazil	Royal Oak	" £1,135 "	 £5.00 	 £12.00 	" £13,620.00 "	" £13,454.40 "	" £2,070.00 "	" £11,384.40 "	1/11/2019
660-684-362	Brazil	Royal Oak	" £3,826 "	 £5.00 	 £125.00 	" £478,250.00 "	" £474,100.00 "	" £199,200.00 "	" £274,900.00 "	1/11/2018
618-510-396	Japan	Vermont	" £1,193 "	 £10.00 	 £15.00 	" £17,895.00 "	" £17,186.10 "	" £23,630.00 "	"-£6,443.90 "	1/2/2019
694-682-376	United Kingdom	Vermont	" £2,530 "	 £10.00 	 £300.00 	" £759,000.00 "	" £753,492.00 "	" £229,500.00 "	" £523,992.00 "	1/5/2019
638-506-319	India	Vermont	" £3,451 "	 £10.00 	 £300.00 	" £1,035,300.00 "	" £1,024,932.00 "	" £432,000.00 "	" £592,932.00 "	1/5/2019
781-606-546	United States of America	Vermont	" £3,059 "	 £10.00 	 £12.00 	" £36,708.00 "	" £36,433.92 "	" £3,426.00 "	" £33,007.92 "	1/6/2019
550-587-332	Brazil	Vermont	" £3,957 "	 £10.00 	 £125.00 	" £494,625.00 "	" £492,970.00 "	" £79,440.00 "	" £413,530.00 "	1/6/2019
517-411-409	Japan	Vermont	" £3,444 "	 £10.00 	 £12.00 	" £41,328.00 "	" £41,017.20 "	" £3,885.00 "	" £37,132.20 "	1/10/2019
564-559-358	India	Vermont	" £4,388 "	 £10.00 	 £125.00 	" £548,500.00 "	" £546,477.50 "	" £97,080.00 "	" £449,397.50 "	1/10/2018
497-692-481	Brazil	Vermont	" £2,106 "	 £10.00 	 £125.00 	" £263,250.00 "	" £257,887.50 "	" £257,400.00 "	 £487.50 	1/10/2018
751-440-373	United Kingdom	Vermont	 £799 	 £10.00 	 £12.00 	" £9,588.00 "	" £9,159.60 "	" £5,355.00 "	" £3,804.60 "	1/11/2018
648-545-303	Japan	Vermont	" £3,154 "	 £10.00 	 £300.00 	" £946,200.00 "	" £934,704.00 "	" £479,000.00 "	" £455,704.00 "	1/12/2019
678-650-337	Japan	Vermont	" £4,108 "	 £10.00 	 £350.00 	" £1,437,800.00 "	" £1,417,836.00 "	" £741,520.00 "	" £676,316.00 "	1/12/2019
486-501-559	Japan	Vermont	" £3,760 "	 £10.00 	 £125.00 	" £470,000.00 "	" £463,177.50 "	" £327,480.00 "	" £135,697.50 "	1/12/2019
565-618-476	United States of America	Vermont	 £377 	 £10.00 	 £15.00 	" £5,655.00 "	" £5,077.50 "	" £19,250.00 "	"-£14,172.50 "	1/12/2018
688-426-491	United States of America	Vermont	" £2,110 "	 £10.00 	 £7.00 	" £14,770.00 "	" £14,488.18 "	" £10,065.00 "	" £4,423.18 "	1/12/2018
523-617-437	United Kingdom	Vermont	" £2,334 "	 £10.00 	 £12.00 	" £28,008.00 "	" £27,754.80 "	" £3,165.00 "	" £24,589.80 "	1/12/2019
594-677-341	Brazil	Vermont	 £580 	 £10.00 	 £12.00 	" £6,960.00 "	" £6,699.84 "	" £3,252.00 "	" £3,447.84 "	1/12/2019
685-463-491	United States of America	Burlington	" £2,610 "	 £120.00 	 £20.00 	" £52,200.00 "	" £51,573.60 "	" £15,660.00 "	" £35,913.60 "	1/10/2019
634-532-326	India	Burlington	" £1,598 "	 £120.00 	 £350.00 	" £559,300.00 "	" £538,538.00 "	" £771,160.00 "	"-£232,622.00 "	1/10/2018
622-639-311	India	Burlington	" £1,459 "	 £120.00 	 £350.00 	" £510,650.00 "	" £490,511.00 "	" £748,020.00 "	"-£257,509.00 "	1/10/2019
699-397-432	India	Burlington	" £3,284 "	 £120.00 	 £125.00 	" £410,500.00 "	" £408,477.50 "	" £97,080.00 "	" £311,397.50 "	1/10/2018
725-420-344	Brazil	Burlington	" £1,197 "	 £120.00 	 £125.00 	" £149,625.00 "	" £144,262.50 "	" £257,400.00 "	"-£113,137.50 "	1/10/2018
496-507-297	United Kingdom	Burlington	" £3,774 "	 £120.00 	 £12.00 	" £45,288.00 "	" £45,034.80 "	" £3,165.00 "	" £41,869.80 "	1/12/2019
640-575-473	Brazil	Burlington	" £2,303 "	 £120.00 	 £20.00 	" £46,060.00 "	" £45,842.40 "	" £5,440.00 "	" £40,402.40 "	1/12/2018
556-426-507	Brazil	Burlington	" £2,572 "	 £120.00 	 £12.00 	" £30,864.00 "	" £30,603.84 "	" £3,252.00 "	" £27,351.84 "	1/12/2019
705-404-400	Brazil	Mandarin	 £320 	 £250.00 	 £125.00 	" £40,000.00 "	" £38,345.00 "	" £79,440.00 "	"-£41,095.00 "	1/6/2019
510-691-521	India	Mandarin	" £2,126 "	 £250.00 	 £300.00 	" £637,800.00 "	" £636,516.00 "	" £53,500.00 "	" £583,016.00 "	1/10/2018
742-449-422	India	Mandarin	" £3,275 "	 £250.00 	 £350.00 	" £1,146,250.00 "	" £1,126,111.00 "	" £748,020.00 "	" £378,091.00 "	1/10/2019
469-473-558	Japan	Mandarin	" £3,582 "	 £250.00 	 £125.00 	" £447,750.00 "	" £440,927.50 "	" £327,480.00 "	" £113,447.50 "	1/12/2019
651-399-484	United States of America	Mandarin	 £783 	 £250.00 	 £350.00 	" £274,050.00 "	" £272,188.00 "	" £69,160.00 "	" £203,028.00 "	1/12/2018
643-625-306	Brazil	Mandarin	" £1,202 "	 £250.00 	 £350.00 	" £420,700.00 "	" £407,120.00 "	" £504,400.00 "	"-£97,280.00 "	1/12/2018
462-450-301	India	Luxe	" £4,056 "	 £260.00 	 £300.00 	" £1,216,800.00 "	" £1,215,246.00 "	" £64,750.00 "	" £1,150,496.00 "	1/3/2019
691-664-293	Brazil	Luxe	" £2,144 "	 £260.00 	 £300.00 	" £643,200.00 "	" £636,594.00 "	" £275,250.00 "	" £361,344.00 "	1/3/2019
720-426-532	India	Luxe	" £3,502 "	 £260.00 	 £125.00 	" £437,750.00 "	" £432,060.00 "	" £273,120.00 "	" £158,940.00 "	1/5/2019
485-686-482	India	Luxe	" £1,397 "	 £260.00 	 £350.00 	" £488,950.00 "	" £468,188.00 "	" £771,160.00 "	"-£302,972.00 "	1/10/2018
463-615-360	United States of America	Luxe	 £679 	 £260.00 	 £20.00 	" £13,580.00 "	" £13,085.60 "	" £12,360.00 "	 £725.60 	1/11/2019
547-623-367	United Kingdom	Luxe	" £2,351 "	 £260.00 	 £20.00 	" £47,020.00 "	" £46,643.60 "	" £9,410.00 "	" £37,233.60 "	1/11/2019
476-505-509	Japan	Luxe	" £2,043 "	 £260.00 	 £300.00 	" £612,900.00 "	" £601,404.00 "	" £479,000.00 "	" £122,404.00 "	1/12/2019
625-482-390	United Kingdom	Kensington	" £3,565 "	 £3.00 	 £125.00 	" £445,625.00 "	" £429,711.88 "	" £509,220.00 "	"-£79,508.13 "	1/4/2019
479-589-416	India	Kensington	" £1,401 "	 £3.00 	 £20.00 	" £28,020.00 "	" £26,472.00 "	" £25,800.00 "	 £672.00 	1/4/2019
764-522-512	India	Kensington	" £2,077 "	 £3.00 	 £300.00 	" £623,100.00 "	" £616,899.00 "	" £172,250.00 "	" £444,649.00 "	1/6/2019
469-428-420	United States of America	Kensington	" £3,643 "	 £3.00 	 £12.00 	" £43,716.00 "	" £43,015.08 "	" £5,841.00 "	" £37,174.08 "	1/9/2019
693-512-439	Japan	Kensington	" £1,105 "	 £3.00 	 £12.00 	" £13,260.00 "	" £12,933.12 "	" £2,724.00 "	" £10,209.12 "	1/12/2018
519-547-296	India	Royal Oak	" £2,960 "	 £5.00 	 £7.00 	" £20,720.00 "	" £20,308.82 "	" £9,790.00 "	" £10,518.82 "	1/2/2019
753-439-320	United Kingdom	Royal Oak	" £1,201 "	 £5.00 	 £12.00 	" £14,412.00 "	" £13,727.64 "	" £5,703.00 "	" £8,024.64 "	1/6/2019
682-522-497	United Kingdom	Royal Oak	" £2,321 "	 £5.00 	 £7.00 	" £16,247.00 "	" £16,132.76 "	" £2,720.00 "	" £13,412.76 "	1/9/2019
632-635-430	India	Royal Oak	" £3,640 "	 £5.00 	 £350.00 	" £1,274,000.00 "	" £1,255,131.50 "	" £467,220.00 "	" £787,911.50 "	1/9/2018
742-574-316	United Kingdom	Royal Oak	" £3,972 "	 £5.00 	 £125.00 	" £496,500.00 "	" £491,673.75 "	" £154,440.00 "	" £337,233.75 "	1/12/2019
560-476-499	India	Royal Oak	" £3,878 "	 £5.00 	 £125.00 	" £484,750.00 "	" £478,352.50 "	" £204,720.00 "	" £273,632.50 "	1/12/2019
557-635-360	United Kingdom	Vermont	" £2,278 "	 £10.00 	 £300.00 	" £683,400.00 "	" £661,489.50 "	" £608,625.00 "	" £52,864.50 "	1/1/2019
587-473-512	Japan	Vermont	" £1,075 "	 £10.00 	 £125.00 	" £134,375.00 "	" £127,722.50 "	" £212,880.00 "	"-£85,157.50 "	1/3/2019
663-448-557	United Kingdom	Vermont	" £4,050 "	 £10.00 	 £12.00 	" £48,600.00 "	" £47,915.64 "	" £5,703.00 "	" £42,212.64 "	1/6/2019
645-528-362	India	Vermont	" £3,035 "	 £10.00 	 £300.00 	" £910,500.00 "	" £904,299.00 "	" £172,250.00 "	" £732,049.00 "	1/6/2019
524-546-512	India	Vermont	" £3,636 "	 £10.00 	 £125.00 	" £454,500.00 "	" £448,612.50 "	" £188,400.00 "	" £260,212.50 "	1/6/2019
785-573-473	United States of America	Vermont	" £1,379 "	 £10.00 	 £12.00 	" £16,548.00 "	" £16,054.98 "	" £4,108.50 "	" £11,946.48 "	1/7/2019
